Group,categ_ct,journal_ct,citableitem_ct
Agricultural Sciences,7,430,56139
"Arts & Humanities, Interdisciplinary",8,1013,30624
Biology & Biochemistry,34,3969,696766
Chemistry,21,2371,683696
Clinical Medicine,59,7488,1075177
Computer Science,14,1604,226856
Economics & Business,21,3394,240626
Engineering,41,3585,802107
Environment/Ecology,13,1721,286983
Geosciences,14,1101,172872
History & Archaeology,9,1372,41103
Literature & Language,17,1624,44315
Materials Science,17,1632,549500
Mathematics,12,1786,195160
Multidisciplinary,36,5751,1100004
Philosophy & Religion,7,985,31867
Physics,34,3007,883067
Plant & Animal Science,17,1614,191747
Psychiatry/Psychology,16,1531,135062
"Social Sciences, General",41,6450,354940
Visual & Performing Arts,10,921,47202
